sampleid	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
2_0430_9747	0.3189265282464956	0.030698850525786782	-0.09216631798291493	0.178733646429653	-0.11290975462302322	0.02184413983234703	0.1535853589854192	-0.18202220587186035	0.019659647038853364	-0.13138001400627278
2_0430_9748	0.2123264063892459	0.2980842206394721	-0.03920768874240485	0.10403131762218791	-0.010205268009166603	0.2212843295200822	0.02381462435830945	-0.10582950490593473	-0.04781530526294958	-0.03881855338982002
2_0430_9749	0.2110330661644122	0.31475093927284703	-0.03572590396688345	0.1123774668490892	-0.011391182809896752	0.21702389668405442	0.020699120834528035	-0.10016318180628153	-0.03404837262672639	-0.030285148100265953
2_0430_9750	0.28765603740987306	0.17720059645827288	-0.042597171223496884	0.10395298740255063	-0.09288282003342359	0.2009102524151884	0.07676473860374011	-0.11828837715741784	-0.08479308271013433	0.08957534169386026
2_0430_9755	0.3148759694674043	-0.10885146846585929	0.20656927035863945	0.007955298958066577	-0.19411614496612095	0.07619223926149239	-0.022862628028623884	-0.05840570628443325	0.05215422187600492	-0.033949660457093044
2_0430_9756	0.20475911687319084	0.19693288586526758	0.13704071704310952	0.04065297486009269	-0.08992195837818143	0.14037429061114662	-0.017344717865984155	-0.0544075093642668	0.06554987047304986	-0.21138634219610133
2_0430_9757	0.19249225632673142	0.28467984237719673	-0.025666704233946725	0.09893522123765024	-0.0097313854446885	0.24572635295489245	0.007324332455843998	-0.10689155505872863	-0.02945699847159589	-0.03958296873525504
2_0430_9758	0.2698416861669485	-0.07727898563470316	0.14239440147584304	0.050003653352426354	-0.1412978151692491	0.16593178839575018	-0.037992899110419566	-0.12463024198152772	0.035542072638641134	0.1513308225373363
2_0503_9745	0.11316371653966692	0.33544303435342143	-0.008762105909190703	-0.08294352031651527	0.05772841691656137	-0.012013377226742165	0.15080247721112186	0.05534163136383859	-0.05334783166738322	-0.051112197586796304
2_0503_9746	0.10773662700043596	0.34971834970258875	0.03489474747005654	-0.047349354672697436	0.02406471631559102	-0.009690008395654566	0.12457266827009456	0.0347166469398282	-0.08912095826111173	-0.025935479221553637
2_0503_9747	0.09679038483384422	0.33380341462714924	0.056510743887265465	-0.08011283916885273	0.02906217141666944	-0.023600028397066812	0.09482383852814004	0.05958451918719183	-0.11251913503047013	-0.032811445930242
2_0503_9748	0.1264614839671627	0.3323375343080254	-0.012786551660683	-0.07806052902577637	0.04747504281682102	-0.005247665591858718	0.14448002001904706	0.05401934582941863	-0.04787642565803263	-0.04985661446562319
2_0503_9749	0.1024859299640295	0.3403829271012179	0.051787427790196905	-0.07981926596961025	0.031950392358029295	0.0005861316909435909	0.10705420279238385	0.0631603526910917	-0.10199126421853105	-0.03498152609603364
2_0503_9750	0.21678088357839545	0.27905639090177964	-0.05430159921026608	0.029204395766291746	-0.0015645864697435101	0.16567086368082726	0.021501259263184167	-0.028213138256705073	-0.02844907651420921	-0.12207032100952925
2_0503_9755	0.22342927250107136	0.1908753469362379	0.09484095662251316	-0.02890953290930081	-0.10939858512073518	0.06241484503005983	0.08658538955261832	0.009807427216332421	-0.13979140115849728	0.044794745536811856
2_0503_9756	0.09313216193019322	0.2892981473718639	0.054295652070187155	-0.061209077143578094	0.02920743935022367	-0.011079839420577728	0.08497648375853929	0.021884545902489623	-0.02813114525063141	-0.09126664000898847
2_0503_9757	0.2049724297198955	0.2631596273839763	-0.14426900760449402	0.002244038967915006	0.045222420154078555	0.1290117509070963	-0.06289681417291478	0.024801054663884374	0.031153046292389262	-0.09496614592955308
2_0503_9758	0.11971136873752118	0.28846037832564964	0.01384206469267093	-0.10344989771620072	0.015091826100404708	-0.032131105417009455	-0.003910384202127634	0.05759024442209128	-0.04982046741188189	0.016192953416008488
2_0506_9741	-0.33754333695140115	0.04808022246922335	-0.021427846637312353	0.05834807553749129	-0.003230104820178115	-0.03776133983287271	0.017548855681809358	0.011394709245329634	-0.02596244718675324	0.007826843076430444
2_0506_9746	0.12992278191545262	0.1712703802205004	6.782039827072786e-05	-0.12721849368391785	0.023824630222757926	-0.2092142403139429	0.13570576357245057	0.09529399139339925	0.08902691833873358	0.11372906007620408
