sampleid	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1_0410_9699	-0.2468803624694606	0.42093140005597435	-0.12867759466977272	-0.09691252383157378	0.17544285226263504	0.030500807798740846	-0.08540528995582902	0.019216698249699567	0.03704755177802975	-0.04015484218602305
1_0415_9687	0.9665641153243534	-0.3518524179166867	-0.05536667916419924	0.34227222383606953	-0.07524775094321216	-0.18600814095451182	0.2325282422137293	0.0036869917621810827	-0.058542336326273633	-0.02760399821910245
1_0415_9689	-0.3890433972551731	-0.6319098416986866	-0.18254951270084546	0.1041790784915003	-0.16519433901504987	-0.002291118812215891	0.0027502348447172764	0.09561166907880636	-0.10193236657337967	-0.18134024783801023
1_0415_9691	0.9738485401143712	-0.3601751942872488	-0.05429006074684528	0.3450088187118631	-0.07426000447351573	-0.19211603751193537	0.2383939847532031	0.0005877410427598145	-0.06077615857893871	-0.02216366905555625
1_0415_9693	0.9715508304111016	-0.3249307125682691	-0.07668544160175701	0.3244431621792997	-0.08333378878547257	-0.16424956646803965	0.19417856544746967	0.0130829309732475	-0.06013243039014972	-0.04839124876378399
1_0415_9694	0.9628305341129013	-0.3473570175768303	-0.056069312920498354	0.3407413525499564	-0.07368921517221677	-0.1833694269285523	0.22802182534056453	0.0044910777576933	-0.0560985459329878	-0.031549584481683664
1_0415_9698	0.9712151423365246	-0.35634087489581967	-0.054597216396723894	0.343005950490305	-0.08088982600090623	-0.18215618536927294	0.23078218959872282	0.00511900584227814	-0.05866837299649328	-0.02827394354548506
1_0415_9699	0.8907311700978181	-0.32076126697539065	0.09826723504530799	0.10661642628117309	-0.0066310335659843	-0.4282039699814502	0.1402433335643897	0.023312882867228112	-0.032299853920817766	0.11168663960952945
1_0415_9735	0.7055921977429752	-0.3114279173206535	-0.059183448798546374	0.27307871506062553	-0.11293723809146237	-0.19851362882297713	0.2687288779237789	0.09471738828233592	0.10070680921927476	-0.07989438359533352
1_0415_9736	0.9747197870275789	-0.340935321660397	-0.06881439060047842	0.33286736765005065	-0.08131717116602687	-0.17324529248742035	0.20973031910415105	0.0074062759300776455	-0.06239819956507577	-0.04073621238788158
1_0415_9737	-0.7016491535481184	-0.6149249568739898	-0.0739131919788469	0.17042659003425392	-0.027713261041079174	0.24619638160008292	-0.017881938805908004	0.05356747590844065	0.018962267121219945	0.022372685801112412
1_0418_9687	-0.7144680046373423	-0.04549564275639427	0.5938694709379696	-0.10431638006466915	-0.2307576586986276	-0.0014976962754152522	0.04045772527931815	-0.09932512357578871	-0.041443081092502033	0.03346586435034269
1_0418_9689	-0.5893889321794308	-0.011777736967387377	0.2207444735153203	0.2727904502222949	-0.3768509641466295	0.021433385585778175	-0.026742319661786737	-0.2605485647253133	-0.00480010189129574	0.03625711841001573
1_0418_9691	-0.6364980934285934	-0.0008298218627685425	0.5762805988831251	-0.08839019253571129	-0.27047736704283376	-0.0720731691688478	0.013382122280382153	-0.19566664994756086	-0.014384685094976344	0.0541219521333602
1_0418_9692	-0.09724341584226402	-0.450901371875761	-0.07631134788138506	0.02787979879739047	-0.20012569298249486	0.08525629989222376	0.06998899747718297	-0.009409799473596665	0.13014415081211425	0.13277853441043358
1_0418_9693	-0.4436973162094567	0.12673426629941567	0.6575388149555503	-0.19506077052090498	-0.28258965393092006	-0.05816517858663562	0.028301684313434265	-0.1783253765715158	0.04610795234241885	0.030100608609226046
1_0418_9694	-0.5513860755763962	-0.030047158207502034	0.5252004556924074	-0.14140933470733158	-0.25896582446619154	-0.10340505243796433	-0.03622501268858328	-0.10528366799075477	-0.02070419976275652	0.05396814017289736
1_0418_9698	-0.3521008813447648	-0.5230647073361429	-0.1033286585497038	0.03268317033724787	-0.09217270273456919	0.0614517038398036	-0.01951511514566885	0.0803953048017394	0.04641984950303266	-0.13426983527567732
1_0418_9699	0.21044467318582014	0.4555261308637188	1.2663483606424812	-0.26246329653820916	-0.061643579001990155	0.07333184454518119	0.13440422426138837	-0.30025367327054736	-0.18829800429312601	0.032769793861540226
1_0418_9736	0.11567849504884554	-0.30159646977837185	-0.039062966601663245	0.07392925906243186	-0.1681875490695459	0.060586053317706626	0.11068725918416389	-0.01275032139087847	0.18324408640814405	0.13945700773312855
1_0418_9737	0.42526645214239833	0.20782002149802498	0.18423806556552047	0.3146396998260543	-0.2510917183519253	-0.0016543928838769388	0.06140324721108065	0.1327495913661108	0.008884408726287077	0.07214330132045023
1_0421_9686	-0.32357421681860676	0.1527627396546677	0.2796794017556717	-0.024123202702302025	-0.2880492887203658	-0.14516769194235848	-0.125357066318749	-0.09950675233072329	0.06446568708419728	0.08901854735254758
1_0421_9687	-0.573524786425034	0.0013191172483134406	0.3517103070536625	-0.047632897956187366	-0.16848976029724616	-0.024236727611856593	-0.011316552168070879	0.11930578226290502	0.06692981221110854	0.07541909657776016
1_0421_9689	-0.032977955667738944	0.36955045290926997	0.29947423807388796	0.06912285500740908	-0.07001279874767623	-0.20124115065417458	-0.12796864715338702	0.17142303315331464	-0.005246867032297906	0.127074323573773
1_0421_9691	-0.46250743058287547	0.12929565918478178	0.42777942969853566	-0.039936726965591265	-0.25785669192105726	-0.15382984448533582	-0.06386161815602696	-0.13842390698455856	0.07019327990127586	0.1005016232639482
1_0421_9692	-0.25314106886626725	0.13186996333994971	0.3360207199875426	-0.051430457642460056	-0.285351487650986	-0.19818794902119433	-0.0830912348853626	-0.06614510643869898	0.05911788514137259	0.09841642521000135
1_0421_9693	-0.34456551567344235	0.36162879093973055	0.4567210053743958	0.012980511520592071	-0.2038185408231062	-0.10371528238339724	-0.037779804487616954	0.06154558264099112	0.08047242656618284	0.0936422394726117
