sampleid	faith_pd
41.9889.0530	50.79310677577979
42.9871.0606	37.59117889971924
42.9872.0606	45.11862224060661
42.9873.0606	46.24301064430779
42.9874.0606	44.477540953710445
42.9875.0606	34.780217776352515
42.9876.0606	44.466799008650526
42.9877.0606	50.33364211597262
42.9878.0606	46.00186195208744
42.9879.0606	43.42776567868725
42.9880.0606	46.616441211635276
42.9881.0606	41.33570036786057
42.9882.0606	42.233118237092356
42.9883.0606	38.56014390394074
42.9884.0606	44.11318313225729
42.9885.0606	43.052467898540954
42.9886.0606	35.1402875749402
42.9887.0606	31.87606995796409
42.9888.0606	34.64806526801664
42.9889.0606	39.512713760558654
42.9890.0606	36.865650822651276
43.9871.0611	6.0629602140223255
43.9872.0611	12.067837168723884
43.9873.0611	10.274140898421365
43.9874.0611	21.340284944673726
43.9875.0611	8.881943523355517
43.9876.0611	8.813089278095163
43.9877.0611	14.915117065285017
43.9878.0611	10.486032708329276
43.9879.0611	10.486091825599146
43.9880.0611	12.388170833805418
43.9881.0611	10.841675990866406
43.9882.0611	18.827866317494852
43.9883.0611	4.837628261057716
43.9884.0611	13.725173374163944
43.9885.0611	9.33256254738609
43.9886.0611	36.056484911672214
43.9887.0611	18.552084697172972
43.9888.0611	17.304876851993583
43.9889.0611	10.187990064943676
43.9890.0611	22.602892896013373
44.9871.0614	17.074601102108034
44.9872.0614	8.561484228871791
44.9873.0614	8.010196331312784
44.9874.0614	15.969870147433767
44.9875.0614	17.994544689664053
44.9876.0614	13.624440392964686
44.9877.0614	19.24886443664184
44.9878.0614	11.6467399208737
44.9879.0614	14.844320907717645
44.9880.0614	13.166681999456955
44.9881.0614	11.690421192655378
44.9882.0614	15.058316379567202
44.9883.0614	9.371296493378281
44.9884.0614	13.200744609599042
44.9885.0614	10.446251823673833
44.9886.0614	10.15835258423158
44.9887.0614	5.75841857022516
44.9888.0614	4.566226473372922
44.9889.0614	11.10965258898824
44.9890.0614	5.908104208586849
51.9939.0613	50.04920949168087
51.9940.0613	56.135916636222646
51.9942.0613	57.84897090913728
51.9943.0613	57.980527499585776
51.9946.0613	41.55870243223285
51.9947.0613	52.00478883008617
51.9948.0613	49.82933034111562
51.9949.0613	46.37003006268759
51.9951.0613	53.96540981509969
51.9953.0613	58.86023099713509
52.9941.0620	53.693377572837846
52.9942.0620	56.79605608761062
52.9944.0620	45.53727431953871
52.9945.0620	43.595725945683625
52.9946.0620	45.64284587475788
52.9947.0620	43.27698512536119
52.9948.0620	42.89113671666098
52.9949.0620	35.96528366551024
52.9950.0620	47.419835793289224
52.9951.0620	40.18371042997779
52.9952.0620	39.25267000940414
52.9953.0620	37.47029089144331
53.9940.0625	10.715737297600015
53.9942.0625	15.127905837152127
53.9943.0625	19.58015104725422
53.9944.0625	6.357036292149189
53.9945.0625	8.039680044580109
53.9946.0625	5.735299798609333
53.9947.0625	10.430091477751603
53.9948.0625	13.623903999644483
53.9949.0625	14.784164086320914
53.9950.0625	9.64380521847795
53.9951.0625	7.512545689812498
53.9952.0625	20.800820483916027
53.9953.0625	11.784851300488072
54.9939.0628	17.144276840802547
54.9940.0628	20.843872562414106
54.9941.0628	18.679550844929906
54.9942.0628	21.15839334642476
54.9944.0628	10.539690876376824
54.9945.0628	10.1495837734671
54.9946.0628	7.827723189789026
54.9947.0628	19.883358272848454
54.9948.0628	10.684619253725373
54.9949.0628	22.146685294200267
54.9950.0628	15.119302591362384
54.9951.0628	12.880348023969134
54.9952.0628	8.958627231133278
54.9953.0628	7.77558037424933
61.9970.0627	60.17263154127306
62.9966.0704	45.122765990993
62.9967.0704	46.093600602554034
62.9968.0704	52.70207588736662
62.9969.0704	45.389423792669334
62.9970.0704	49.317851765852424
62.9972.0704	42.509302617372384
62.9973.0704	42.89219080999936
62.9974.0704	46.68993132245754
62.9975.0704	40.236307153718315
63.9966.0709	31.93602735342887
63.9967.0709	5.341620072163153
63.9968.0709	11.39849029061935
63.9969.0709	9.427319715918088
63.9970.0709	11.908317161729997
63.9971.0709	16.439239787810834
63.9972.0709	13.649377138472857
63.9973.0709	13.770684783205581
63.9974.0709	14.806832222382752
63.9975.0709	22.865061589681318
64.9966.0712	13.467192112465398
64.9967.0712	5.222726631923194
64.9968.0712	7.120157183752497
64.9969.0712	5.741788514119378
64.9970.0712	13.783945113486936
64.9971.0712	5.344779677198346
64.9972.0712	8.77308653927048
64.9973.0712	10.18318731750287
64.9974.0712	12.971491494042482
64.9975.0712	7.9882466304317745
72.100.0808	40.765566687157786
72.101.0808	36.181250278924665
72.103.0808	34.42068033779918
72.105.0808	32.9817657116763
72.111.0808	34.577256473321825
72.112.0808	36.41216351205139
72.113.0808	33.85476342850359
72.99.0808	36.43892204501458
73.100.0813	6.59376113602417
73.101.0813	6.999667293908942
73.102.0813	10.122236415562156
73.103.0813	11.198498052888226
73.104.0813	6.792878386226164
73.105.0813	8.03945862488149
73.106.0813	10.809245590371688
73.107.0813	9.903830327228604
73.111.0813	31.32996304862189
73.112.0813	40.583041891579114
73.113.0813	20.682226139219665
73.98.0813	7.176632139112087
74.100.0816	10.150943552503975
74.101.0816	9.140674566120026
74.102.0816	7.7255026831315945
74.103.0816	6.9020230329691685
74.105.0816	6.756821702322554
74.106.0816	7.737506311865445
74.107.0816	9.698181610539052
74.108.0816	9.426369499423117
74.109.0816	6.4339964086657915
74.110.0816	45.91540290949598
74.111.0816	20.880748439703098
74.113.0816	4.908248910736404
74.98.0816	8.336757469765075
74.99.0816	7.497678451548495
75.106.0819	7.688820395160576
75.108.0819	5.977040714306781
75.109.0819	8.09465352221713
75.113.0819	5.219021680626611
75.116.0819	20.151771679956028
75.99.0819	6.444233854562299
EW.LF.Fiber	16.871005504770153
EW.LF.Pure	7.490102438059068
EW.WD	12.444275663289602
EW.WD.Fiber	10.852056376067992
Mock_6	10.968918866456079
Mock20220615A	26.573201760413895
PCR Blank1	1.4584141807223432
